Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brazil,BRA,42.3873397430786,42.7158735613044,42.8609853441144,43.3754780164592,43.3847765410249
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Peru,PER,45.8746577439029,45.5369389296711,45.8395622957441,45.8275228888666,45.8060115428884
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Panama,PAN,38.4256675834659,39.2275373791766,39.35339934781,39.6800182351078,39.7399493184383
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Paraguay,PRY,39.6169960749631,39.5609986340477,39.3989555763073,39.5040925541898,39.6666191756991
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Chile,CHL,41.2918018744107,41.2167719649618,41.4773895992966,41.7601310353661,41.7901406338707
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Argentina,ARG,40.98967185397,41.3527069146185,41.7260753391745,42.0954964327106,42.0469205578632
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Uruguay,URY,44.9895074202427,45.072439237501,45.4133194091993,45.4474096882175,45.4738761321554
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Venezuela, RB",VEN,40.0162787644807,39.9180171048722,39.4658330970682,39.1608145449425,39.363456113946
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bolivia,BOL,42.8114715525133,40.7544288760138,42.8381417660968,41.8102671933787,41.8268076980631
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Colombia,COL,43.0149048286598,43.2289952859653,43.1748189307537,43.140016897914,43.1444904162203
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Suriname,SUR,38.7703786642986,38.5351153664596,38.0865026381981,38.043518916796,38.2126661309837
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Guyana,GUY,35.4333288554981,35.6281077871749,35.7910167142015,35.8568270980661,35.9305391682258
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,100015727,101678651,102586090,104335581,105369207
"Labor force, total",SL.TLF.TOTL.IN,Peru,PER,16631917,16669568,17020625,17834981,18335792
"Labor force, total",SL.TLF.TOTL.IN,Panama,PAN,1813556,1858187,1910793,1982988,2023221
"Labor force, total",SL.TLF.TOTL.IN,Paraguay,PRY,3172709,3237302,3334662,3403498,3467326
"Labor force, total",SL.TLF.TOTL.IN,Chile,CHL,8746109,8887450,9018217,9212780,9383017
